"landmark_alias","landmark_fk"
"Bloco CS (UFCG)",2321
"Campo de Futebol da Feirinha",2324
"Praça Augusto dos Anjos",2326
"Praça Clementino Procópio",2337
"CertBio (UFCG)",2344
"Açougue FrigoBoi",2347
"Picanha 200",2348
"Quiosque de Marcos",2349
"Praça Rosa Mística",2350
"Bloco AL1 (Centro de Extensão - UFCG)",2351
"O Boticário",2352
"Escola Estadual Nenzinha Cunha Lima",2355
"CAMPO DE FUTEBOL",2356
"Saloon Bar",2359
"Forúm Juiz Nereu Santos - Justiça Federal",2361
"Mercadinho de Neto",2364
"Airton Cabeleireiros",2366
"Canal Fluvial de Bodocongó",2368
"Bloco CAA (UFCG)",2371
"Espaço D",2374
"Restaurante Miúra",2377
"Praça do Coreto da Reitoria",2378
"INSS",2379
"Riacho Riachão",2386
"Igreja União",2387
"Posto Lagoão",2392
"Hotel Village",2395
"Bloco BP (UFCG)",2396
"Escola Municipal",2398
"Shopping Campina Grande",2399
"Posto Anel Do Brejo",2400
"Laboratório de Eletrônica Analógica",2402
"Cantina da Dona Inês (UFCG)",2403
"Rio Bodocongó",2405
"Bloco AF1 (Caixa Econômica Federal)",2406
"Bloco CA1 (UFCG)",2407
"Teatro Municipal Severino Cabral",2413
"Escola Instuto São Vicente de Paula",2414
"Sapore d´ Itália",2417
"Residencial Prime",2418
"Unidade Pedagógica 16 de Julho",2420
"Bragapharma",2432
"Bloco CQ (UFCG)",2434
"Polícia Militar",2436
"Rei dos Salgados",2446
"Laboratórios de PeG e Contrução de Edifícios",2448
"Mercadinho Nota 10",2451
"Parque do Coreto",2455
"Frida Tacos",2457
"Sala de Aula 03",2468
"Centro de Distribuição Rio do Peixe",2471
"Bloco BD (UFCG)",2476
"Escola Estadual da Liberdade",2480
"Praça do Trabalho",2481
"Maria Pitanga",2485
"Auditório Ana Cláudia Mousinho Lucena",2486
"Shopping Edson Diniz",2488
"IQuanta (UFCG)",2490
"Estacionamento Ideal",2491
"Dias",2495
"Açaiteria",2498
"Bloco AJ1 (UFCG)",2500
"2",2501
"ÁREA VERDE",2503
"Cemitério José Pinheiro",2504
"Bloco BB - Praça de Alimentação (UFCG)",2506
"Local de culturas e experimentos agrícolas.",2509
"Parque Motel",2510
"Bloco AA (Reitoria UFCG)",2513
"Bloco CH1 (UFCG)",2514
"Loja de Conveniência e Variedades",2516
"academia popular",2519
"Residencial Montreal",2521
"Praça das Profissões",2530
"Praça Centenário",2534
"Parque Ana Vilar",2536
"Volei de Praia",2538
"Comunidade Sagrada Família",2540
"Jackson do Pandeiro",2542
"Quadra do CAD",2549
"Igreja Evangélica Congregacional do Catolé",2551
"Estacionamento Futurama",2554
"Instituto Nacional do Semiárido",2556
"Lago da UFCG",2560
"Paladar da Terra",2561
"Mercadinho Junior",2564
"Bloco CV2 (UFCG)",2565
"Parque de Exposição de Animais",2569
"Bloco 1A e Bloco 2A (Cipresa)",2570
"Complexo O Amigão",2572
"Açude Velho",2573
"Capela Santa Rita de Cássia",2578
"Bloco CD1 (UFCG)",2583
"SENAC",2589
"Hospital Pedro I",2590
"Eydental",2591
"Praça das Engenharias",2595
"Campo Santo Parque da Paz",2600
"Praça Maurício Moura",2606
"Praça da Escola Publica do Severino Cabral",2611
"Vila Serrotão",2612
"SIASS (UFCG)",2617
"Canal do Prado",2619
"Quadra Hotel Garden",2623
"Canal das Três Irmãs",2625
"Convento Ipuarana",2640
"Campo dos Advogados",2642
"Açude Sindô Ribeiro",2648
"Bloco CE (UFCG)",2652
"Escola Instituto São Vicente de Paula",2659
"Restaurante Laranjeiras",2661
"1",2662
"Posto de Saude do Parque da Liberdade",2665
"Posto Dallas",2667
"Embedded-LIEC (UFCG)",2674
"Escola Cidadã Integral Severino Cabral",2680
"Irmã Estefani",2682
"Farmacia Dias",2683
"Campina Grande (Velha)",2684
"Forúm Irineu Joffily - Justiça do Trabalho",2686
"Supermercado Bilão",2687
"Redepharma",2689
"Farmácia Dias",2693
"Monumento Café",2694
"Praça das Humanidades",2695
"Biblioteca Poeta Zé da Luz",2696
"Agro Industrial (UFCG)",2699
"Recanto Alegre",2701
"Bloco 1C e Bloco 2C (Cipresa)",2710
"Cemitério do Araxá - Jeremias",2715
"Estacionamento Partage Shopping",2717
"Unidade Acadêmica de Arte e Mídia (UAAMI)",2724
"O Espetão - Bar e Restaurante",2725
"Banco Itaú",2726
"Estacionamento do Rede Compras",2730
"Igreja Nossa Senhora Rainha da Paz",2732
"CANTEIRO CENTRAL",2733
"Chopp do Alemão",2737
"Bloko BK1 (UFCG)",2739
"The H",2743
